"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE953958791431";"E 822655-01";"In Betrieb";"3.12.2010";"14.11.2019";"Wind";"2300";"2300";"99706";"Sondershausen";"QE Portfolio 1 GmbH & Co. KG";"ABR946242075478";"10.12.2024"
"SEE972687248245";"E 822656-02";"In Betrieb";"19.11.2010";"14.11.2019";"Wind";"2300";"2300";"99706";"Sondershausen";"QE Portfolio 1 GmbH & Co. KG";"ABR946242075478";"10.12.2024"
"SEE912888190783";"E 822657-03";"In Betrieb";"19.11.2010";"14.11.2019";"Wind";"2300";"2300";"99706";"Sondershausen";"QE Portfolio 1 GmbH & Co. KG";"ABR946242075478";"10.12.2024"
"SEE955067764481";"E 531200-04";"In Betrieb";"21.12.2010";"13.11.2019";"Wind";"800";"800";"37308";"Geisleden";"QE Portfolio 4 GmbH & Co. KG";"ABR955888607479";"5.1.2022"
"SEE910021637065";"E 531201-05";"In Betrieb";"15.12.2010";"13.11.2019";"Wind";"800";"800";"37308";"Geisleden";"QE Portfolio 4 GmbH & Co. KG";"ABR955888607479";"5.5.2023"
"SEE909570044653";"E 531202-06";"In Betrieb";"16.12.2010";"13.11.2019";"Wind";"800";"800";"37308";"Geisleden";"QE Portfolio 4 GmbH & Co. KG";"ABR955888607479";"28.9.2021"
"SEE944812956660";"E 531203-07";"In Betrieb";"23.12.2010";"13.11.2019";"Wind";"800";"800";"37308";"Geisleden";"QE Portfolio 4 GmbH & Co. KG";"ABR955888607479";"5.5.2023"
"SEE958856189465";"E 531197-01";"In Betrieb";"9.12.2010";"11.11.2019";"Wind";"800";"800";"37308";"Geisleden";"QE Portfolio 4 GmbH & Co. KG";"ABR955888607479";"1.9.2023"
"SEE938424911704";"E 531198-02";"In Betrieb";"9.12.2010";"11.11.2019";"Wind";"800";"800";"37308";"Geisleden";"QE Portfolio 4 GmbH & Co. KG";"ABR955888607479";"28.9.2021"
"SEE921557212022";"E 531199-03";"In Betrieb";"9.12.2010";"11.11.2019";"Wind";"800";"800";"37308";"Geisleden";"QE Portfolio 4 GmbH & Co. KG";"ABR955888607479";"5.5.2023"
"SEE914172972785";"WP Nitzschka  - AN Bonus 600";"In Betrieb";"22.10.1996";"11.11.2019";"Wind";"600";"600";"04626";"Schmölln";"(natürliche Person)";"ABR970125248413";"10.8.2026"
"SEE926259576908";"HL 05";"Endgültig stillgelegt";"13.6.2002";"10.10.2019";"Wind";"1500";"1500";"99955";"Herbsleben";"(natürliche Person)";"";"28.12.2022"
"SEE943028008996";"HL 01";"Endgültig stillgelegt";"18.6.2002";"10.10.2019";"Wind";"1500";"1500";"99955";"Herbsleben";"(natürliche Person)";"";"28.12.2022"
"SEE952880131773";"HL 02";"Endgültig stillgelegt";"24.5.2002";"10.10.2019";"Wind";"1500";"1500";"99955";"Herbsleben";"(natürliche Person)";"";"28.12.2022"
"SEE976623355288";"HL 03";"In Betrieb";"20.6.2002";"10.10.2019";"Wind";"1500";"1500";"99955";"Herbsleben";"BOREAS Energie GmbH";"ABR909054335185";"15.10.2024"
"SEE920806975060";"WP Holzthaleben WEA 01";"In Betrieb";"14.9.2016";"8.10.2019";"Wind";"2400";"2400";"99713";"Helbedündorf";"Holzthaleben Wind GmbH";"ABR970507861490";"3.12.2024"
"SEE978342109999";"WP Holzthaleben WEA 02";"In Betrieb";"14.9.2016";"8.10.2019";"Wind";"2400";"2400";"99713";"Helbedündorf";"Holzthaleben Wind GmbH";"ABR970507861490";"3.12.2024"
"SEE929986554683";"Mohlis WEA 01 neu";"In Betrieb";"29.8.2019";"23.9.2019";"Wind";"3600";"3600";"04626";"Drogen";"CEE Windpark Mohlis GmbH & Co. KG";"ABR979723000096";"17.9.2024"
"SEE958632594902";"Mohlis WEA 02 neu";"In Betrieb";"4.9.2019";"23.9.2019";"Wind";"3600";"3600";"04626";"Drogen";"CEE Windpark Mohlis GmbH & Co. KG";"ABR979723000096";"17.9.2024"
"SEE901559913165";"Mohlis WEA 04 neu";"In Betrieb";"19.9.2019";"23.9.2019";"Wind";"3600";"3600";"04626";"Schmölln";"CEE Windpark Mohlis GmbH & Co. KG";"ABR979723000096";"17.9.2024"
"SEE982163842638";"Mohlis WEA 05 neu";"In Betrieb";"13.9.2019";"23.9.2019";"Wind";"3600";"3600";"04626";"Schmölln";"CEE Windpark Mohlis GmbH & Co. KG";"ABR979723000096";"17.9.2024"
"SEE994075164180";"70835";"In Betrieb";"20.12.2002";"17.9.2019";"Wind";"1800";"1800";"07922";"Tanna";"Alterric Windpark GmbH & Co. Windnutzung II KG";"ABR949680981240";"13.12.2024"
